Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Compost volume (m3)," Composting Method",M1_is Enclosed,Period (d),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),Initial GI (%),Final GI (%),CO2-C loss (%)
Cattle manure,Straw,Byproduct,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Cow manure,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Green waste,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Mature compost,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,None,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Poultry manure,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Poultury manure,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Sawdust,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Sewage sludge,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Straw,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Cattle manure,Straw,Wood chips,None,None,None,None,0,65.68070085203514,8.030219270833333,1.5966399596683736,36.93523287489085,26.121337664660523,2.147162565177521,Windrow,0,68,0.43705500274584547,Continuous,0,0,68,0.16,13,,,,37.380428571428574,,
Food waste,Straw,Byproduct,None,None,None,None,0,59.87487562189054,6.874356428571427,1.938857678018576,44.66952458089472,25.071854049196226,0.05513157894736844,Windrow,0,68,0.409868947368421,Continuous,0,0,68,0.16,13,,,,14.219726666666666,,
Food waste,Straw,Cow manure,None,None,None,None,0,59.87487562189054,6.874356428571427,1.938857678018576,44.66952458089472,25.071854049196226,0.05513157894736844,Windrow,0,68,0.409868947368421,Continuous,0,0,68,0.16,13,,,,14.219726666666666,,
Food waste,Straw,Green waste,None,None,None,None,0,59.87487562189054,6.874356428571427,1.938857678018576,44.66952458089472,25.071854049196226,0.05513157894736844,Windrow,0,68,0.409868947368421,Continuous,0,0,68,0.16,13,,,,14.219726666666666,,
Food waste,Straw,Mature compost,None,None,None,None,0,59.87487562189054,6.874356428571427,1.938857678018576,44.66952458089472,25.071854049196226,0.05513157894736844,Windrow,0,68,0.409868947368421,Continuous,0,0,68,0.16,13,,,,14.219726666666666,,
